Unnamed: 0,atletas.entrou_em_campo,atletas.nome,atletas.slug,atletas.preco_num,atletas.minimo_para_valorizar,atletas.atleta_id,atletas.variacao_num,atletas.pontos_num,atletas.rodada_id,atletas.apelido,atletas.posicao_id,atletas.clube_id,atletas.media_num,atletas.status_id,atletas.jogos_num,atletas.clube.id.full.name,atletas.apelido_abreviado,DS,FC,FD,FF,FS,I,A,CA,SG,DE,GS,CV,PP,V,FT,G,PC,DP,PS,GC,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
199,True,José Marcos Alves Luis,ze-marcos,3.3,,90943,-0.2,0.5,3,Zé Marcos,3,287,0.97,7,3,VIT,Z. Marcos,2.0,2.0,,,1.0,,,,,,,,,,,,,,,,20.0,60.0,Mineirão,2025-04-13 20:30:00,2,2,333902,16,287,7,282,1744587000,26,True,False
201,False,Fernando José Marques Maciel,fernandinho,5.88,,91130,0.0,0.0,3,Fernandinho,5,354,4.3,5,2,CEA,Fernandinho,4.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,46.67,6.67,Alfredo Jaconi,2025-04-12 16:00:00,1,2,333906,12,354,19,286,1744484400,26,True,False
202,True,Éder Ferreira Graminho,eder,2.9,,91203,-0.1,0.8,3,Éder,3,354,0.8,6,1,CEA,Éder,,,,1.0,,,,,,,,,,,,,,,,,46.67,6.67,Alfredo Jaconi,2025-04-12 16:00:00,1,2,333906,12,354,19,286,1744484400,26,True,False
203,True,Erick Antonio Pulgar Farfán,erick-pulgar,7.32,,91473,0.21,4.2,3,Erick Pulgar,4,262,2.33,7,3,FLA,E. Pulgar,5.0,8.0,2.0,,3.0,,,2.0,,,,,,,,,,,,,73.33,53.33,Arena do Grêmio,2025-04-13 17:30:00,2,0,333903,1,262,11,284,1744576200,26,True,False
208,False,Igor Aquino da Silva,igor-carius,7.06,,91639,0.0,0.0,3,Igor Cariús,2,292,6.4,5,2,SPT,I. Cariús,4.0,2.0,,,5.0,1.0,,,1.0,,,,,,,,,,,,6.67,46.67,São Januário,2025-04-12 21:00:00,1,3,333898,20,292,13,267,1744502400,26,True,False
211,True,Caíque França Godoy,caique-franca,5.34,,91808,-0.17,0.9,3,Caíque França,1,292,3.47,7,3,SPT,C. França,,,,,,,,,1.0,8.0,5.0,,,,,,,,,,6.67,46.67,São Januário,2025-04-12 21:00:00,1,3,333898,20,292,13,267,1744502400,26,True,False
212,True,José Ivaldo Almeida Silva,ze-ivaldo,5.39,,91866,-0.77,1.1,3,Zé Ivaldo,3,277,2.77,7,3,SAN,Z. Ivaldo,6.0,4.0,,2.0,,1.0,,1.0,,,,,,,,,,,,,46.67,66.67,Maracanã,2025-04-13 19:30:00,0,1,333897,15,277,6,266,1744583400,26,True,False
214,True,Ramón Ángel Díaz,ramon-diaz,9.02,,92075,-0.74,2.69,3,Ramón Díaz,6,264,5.07,7,3,COR,R. Díaz,,,,,,,,,,,,,,1.0,,,,,,,40.0,60.0,Arena Barueri,2025-04-12 18:30:00,0,2,333899,10,264,4,275,1744493400,26,True,False
217,False,José Carlos Ferreira Júnior,juninho,3.63,,92182,0.0,0.0,3,Juninho,3,285,-1.3,6,1,INT,Juninho,,1.0,,,,,,1.0,,,,,,,,,,,,,20.0,20.0,Castelão (CE),2025-04-13 20:00:00,0,0,333905,17,285,18,356,1744585200,26,True,False
219,True,André Ramalho Silva,andre-ramalho,5.25,,92440,-1.47,-1.6,3,André Ramalho,3,264,1.7,7,3,COR,A. Ramalho,1.0,3.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,40.0,60.0,Arena Barueri,2025-04-12 18:30:00,0,2,333899,10,264,4,275,1744493400,26,True,False
220,False,Renato Kayzer de Souza,renato-kayzer,4.0,,92696,0.0,0.0,3,Renato Kayzer,5,287,0.0,6,0,VIT,R. Kayzer,,,,,,,,,,,,,,,,,,,,,20.0,60.0,Mineirão,2025-04-13 20:30:00,2,2,333902,16,287,7,282,1744587000,26,True,False
223,True,Rafael Santos Borré Maury,borre,13.72,,92854,-1.8,1.3,3,Borré,5,285,3.1,6,3,INT,Borré,,1.0,,1.0,2.0,2.0,,,,,,,,,,1.0,,,,,20.0,20.0,Castelão (CE),2025-04-13 20:00:00,0,0,333905,17,285,18,356,1744585200,26,True,False
224,True,Ronaldo da Silva Souza Guerrero,ronaldo,4.34,,92981,-0.62,0.9,3,Ronaldo,4,285,2.1,6,3,INT,Ronaldo,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,20.0,20.0,Castelão (CE),2025-04-13 20:00:00,0,0,333905,17,285,18,356,1744585200,26,True,False
225,True,Rafael António Figueiredo Ramos,rafael-ramos,3.71,,93236,-0.09,1.2,3,Rafael Ramos,2,354,1.35,6,2,CEA,R. Ramos,2.0,1.0,,,,,,,,,,,,,,,,,,,46.67,6.67,Alfredo Jaconi,2025-04-12 16:00:00,1,2,333906,12,354,19,286,1744484400,26,True,False
226,False,João Othávio Basso,joao-basso,5.0,,93372,0.0,0.0,3,João Basso,3,277,0.0,6,0,SAN,J. Basso,,,,,,,,,,,,,,,,,,,,,46.67,66.67,Maracanã,2025-04-13 19:30:00,0,1,333897,15,277,6,266,1744583400,26,True,False
227,True,Wanderson Maciel Sousa Campos,wanderson,6.96,,93478,-0.07,3.3,3,Wanderson,5,283,2.8,7,3,CRU,Wanderson,2.0,2.0,,2.0,3.0,1.0,,,,,,,,,1.0,,,,,,73.33,26.67,Morumbis,2025-04-13 17:30:00,1,1,333900,2,283,14,276,1744576200,26,True,False
228,False,Bruno Nunes de Barros,bruno-tubarao,4.0,,93637,0.0,0.0,3,Bruno Tubarão,2,354,0.0,6,0,CEA,B. Tubarão,,,,,,,,,,,,,,,,,,,,,46.67,6.67,Alfredo Jaconi,2025-04-12 16:00:00,1,2,333906,12,354,19,286,1744484400,26,True,False
230,True,Marlon Rodrigues Freitas,marlon-freitas,6.08,,93790,-0.87,-0.3,3,Marlon Freitas,4,263,-0.2,7,3,BOT,M. Freitas,,2.0,,,2.0,,,1.0,,,,,,,,,,,,,73.33,46.67,Nabi Abi Chedid,2025-04-12 16:00:00,0,1,333901,8,263,3,280,1744484400,26,True,False
231,False,Keiller da Silva Nunes,keiller,3.0,,93834,0.0,0.0,3,Keiller,1,354,0.0,6,0,CEA,Keiller,,,,,,,,,,,,,,,,,,,,,46.67,6.67,Alfredo Jaconi,2025-04-12 16:00:00,1,2,333906,12,354,19,286,1744484400,26,True,False
235,True,John Victor Maciel Furtado,john,12.08,,94044,-1.29,1.6,3,John,1,263,6.47,7,3,BOT,John,,,,,,,,,2.0,8.0,1.0,,,,,,,,,,73.33,46.67,Nabi Abi Chedid,2025-04-12 16:00:00,0,1,333901,8,263,3,280,1744484400,26,True,False
237,False,Maycon de Andrade Barberan,maycon,4.78,,94154,0.0,0.0,3,Maycon,4,264,2.25,6,2,COR,Maycon,3.0,,,,,,,,,,,,,,,,,,,,40.0,60.0,Arena Barueri,2025-04-12 18:30:00,0,2,333899,10,264,4,275,1744493400,26,True,False
238,True,Diego Cristiano Evaristo,diego-pituca,5.36,,94156,-0.96,0.5,3,Diego Pituca,4,277,2.77,6,3,SAN,D. Pituca,,,,1.0,1.0,,,1.0,,,,,,,,1.0,,,,,46.67,66.67,Maracanã,2025-04-13 19:30:00,0,1,333897,15,277,6,266,1744583400,26,True,False
239,True,Guilherme Augusto Vieira dos Santos,guilherme,8.1,,94207,0.58,6.4,3,Guilherme,5,277,6.97,7,3,SAN,Guilherme,9.0,3.0,2.0,5.0,4.0,1.0,,,,,,,,,,,,,,,46.67,66.67,Maracanã,2025-04-13 19:30:00,0,1,333897,15,277,6,266,1744583400,26,True,False
243,False,Pedro Guilherme Abreu dos Santos,pedro,19.0,,94583,0.0,0.0,3,Pedro,5,262,0.0,6,0,FLA,Pedro,,,,,,,,,,,,,,,,,,,,,73.33,53.33,Arena do Grêmio,2025-04-13 17:30:00,2,0,333903,1,262,11,284,1744576200,26,True,False
245,False,Nicolas Vecchiato da Silva - Vichiatto / Vechiatto,nicolas,5.66,,95127,0.0,0.0,3,Nicolas,2,354,6.5,6,1,CEA,Nicolas,1.0,,,,,,,,1.0,,,,,,,,,,,,46.67,6.67,Alfredo Jaconi,2025-04-12 16:00:00,1,2,333906,12,354,19,286,1744484400,26,True,False
247,False,Bruno César Xavier Sislo,bruno-xavier,4.0,,95288,0.0,0.0,3,Bruno Xavier,4,287,0.0,6,0,VIT,B. Xavier,,,,,,,,,,,,,,,,,,,,,20.0,60.0,Mineirão,2025-04-13 20:30:00,2,2,333902,16,287,7,282,1744587000,26,True,False
249,True,Christian Hernando Rivera Cuéllar,rivera,5.11,,95357,1.32,7.6,3,Rivera,4,292,3.73,7,3,SPT,Rivera,10.0,11.0,,,3.0,,,2.0,,,,,,,,,,,,,6.67,46.67,São Januário,2025-04-12 21:00:00,1,3,333898,20,292,13,267,1744502400,26,True,False
250,True,Gregore de Magalhães da Silva,gregore,7.08,,95464,-0.23,1.8,3,Gregore,4,263,2.57,7,3,BOT,Gregore,7.0,12.0,,1.0,4.0,,,2.0,,,,,,,,,,,,,73.33,46.67,Nabi Abi Chedid,2025-04-12 16:00:00,0,1,333901,8,263,3,280,1744484400,26,True,False
