Unnamed: 0,atletas.posicao_id,atletas.jogos_num,atletas.pontos_num,atletas.variacao_num,atletas.atleta_id,atletas.media_num,atletas.preco_num,atletas.rodada_id,atletas.apelido_abreviado,atletas.nome,atletas.slug,atletas.entrou_em_campo,atletas.apelido,atletas.minimo_para_valorizar,atletas.clube.id.full.name,atletas.clube_id,atletas.status_id,A,DS,FC,FD,FF,FS,G,I,CA,DE,GS,V,DP,SG,FT,PS,PC,CV,PP,GC,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
574,3,6,-0.5,-0.42,122861,2.82,5.0,6,Abner,Abner Salles da Silva,abner,True,Abner,,JUV,286,2,1.0,4.0,2.0,,2.0,2.0,,1.0,1.0,,,,,1.0,,,,,,,6.67,20.0,Beira-Rio,2025-04-26 16:00:00,1,3,333973,19,286,17,285,1745694000,26,True,False
575,3,6,-0.2,-1.07,122897,3.7,5.7,6,G. Rodríguez,Guzmán Rodríguez Ferrari,guzman-rodriguez,True,Guzmán Rodríguez,,RBB,280,7,,4.0,6.0,2.0,2.0,2.0,,,2.0,,,,,3.0,,,,,,,46.67,46.67,Vila Belmiro,2025-04-27 20:30:00,2,1,333970,3,280,15,277,1745796600,26,True,False
576,4,0,0.0,0.0,122989,0.0,1.0,6,D. Kauã,David Kauã Ramos,david-kaua,False,David Kauã,,CAM,282,6,,,,,,,,,,,,,,,,,,,,,60.0,66.67,Maião,2025-04-26 18:30:00,2,2,333971,7,282,9,2305,1745703000,26,True,False
577,4,0,0.0,0.0,122990,0.0,2.0,6,Patrick,Patrick Roberto da Silva Campos,patrick,False,Patrick,,CAM,282,6,,,,,,,,,,,,,,,,,,,,,60.0,66.67,Maião,2025-04-26 18:30:00,2,2,333971,7,282,9,2305,1745703000,26,True,False
578,5,1,0.0,0.0,123004,2.1,1.7,6,Tiago,Tiago Souza de Jesus Carvalho,tiago,False,Tiago,,BAH,265,6,,1.0,1.0,,,,,1.0,,,,,,,,1.0,,,,,66.67,60.0,Allianz Parque,2025-04-27 18:30:00,1,0,333969,5,265,4,275,1745789400,26,True,False
579,5,0,0.0,0.0,123359,0.0,3.0,6,Cadu,Carlos Eduardo Amaral Pereira de Castro,cadu,False,Cadu,,CAM,282,5,,,,,,,,,,,,,,,,,,,,,60.0,66.67,Maião,2025-04-26 18:30:00,2,2,333971,7,282,9,2305,1745703000,26,True,False
580,4,5,4.5,0.08,123360,2.86,6.94,6,Cauly,Cauly Oliveira Souza,cauly,True,Cauly,,BAH,265,7,2.0,2.0,1.0,,2.0,2.0,,,1.0,,,,,,,,,,,,66.67,60.0,Allianz Parque,2025-04-27 18:30:00,1,0,333969,5,265,4,275,1745789400,26,True,False
581,4,0,0.0,0.0,123497,0.0,1.0,6,Jota,João Victor Broad Moreira Guimarães,jota,False,Jota,,BAH,265,6,,,,,,,,,,,,,,,,,,,,,66.67,60.0,Allianz Parque,2025-04-27 18:30:00,1,0,333969,5,265,4,275,1745789400,26,True,False
583,2,0,0.0,0.0,123717,0.0,3.0,6,Z. Guilherme,José Guilherme de Lima Costa,ze-guilherme,False,Zé Guilherme,,BAH,265,6,,,,,,,,,,,,,,,,,,,,,66.67,60.0,Allianz Parque,2025-04-27 18:30:00,1,0,333969,5,265,4,275,1745789400,26,True,False
584,4,2,0.0,0.0,123788,1.0,4.98,6,Lezcano,Rubén Darío Lezcano Portillo,lezcano,False,Lezcano,,FLU,266,6,,1.0,,,,1.0,,,,,,,,,,,,,,,66.67,73.33,Nilton Santos (Engenhão),2025-04-26 21:00:00,0,2,333968,6,266,8,263,1745712000,26,True,False
585,5,5,-2.2,-1.51,123795,1.44,6.3,6,L. Rodríguez,Luciano Rodríguez Rosales,lucho-rodriguez,True,Lucho Rodríguez,,BAH,265,7,,2.0,7.0,2.0,3.0,5.0,,,1.0,,,,,,,,,,,,66.67,60.0,Allianz Parque,2025-04-27 18:30:00,1,0,333969,5,265,4,275,1745789400,26,True,False
586,5,0,0.0,0.0,123873,0.0,4.0,6,Palacios,Brahian Palacios Alzate,palacios,False,Palacios,,CAM,282,6,,,,,,,,,,,,,,,,,,,,,60.0,66.67,Maião,2025-04-26 18:30:00,2,2,333971,7,282,9,2305,1745703000,26,True,False
589,5,5,0.0,0.0,124239,2.46,4.13,6,H. Mosquera,Henry David Mosquera Sánchez,henry-mosquera,False,Henry Mosquera,,RBB,280,2,,3.0,3.0,5.0,1.0,4.0,,1.0,,,,,,,,,,,,,46.67,46.67,Vila Belmiro,2025-04-27 20:30:00,2,1,333970,3,280,15,277,1745796600,26,True,False
590,5,0,0.0,0.0,124250,0.0,1.0,6,P. Ataíde,Pedro Ataide de Souza Oliveira,pedro-ataide,False,Pedro Ataíde,,CAM,282,6,,,,,,,,,,,,,,,,,,,,,60.0,66.67,Maião,2025-04-26 18:30:00,2,2,333971,7,282,9,2305,1745703000,26,True,False
599,3,2,-1.3,-0.71,124661,0.75,2.06,6,I. Román,Ivan Ramiro Román Hurtado,ivan-roman,True,Iván Román,,CAM,282,6,,1.0,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,60.0,66.67,Maião,2025-04-26 18:30:00,2,2,333971,7,282,9,2305,1745703000,26,True,False
600,4,0,0.0,0.0,124674,0.0,2.0,6,F. Negrucci,Felipe Negrucci Berdague,felipe-negrucci,False,Felipe Negrucci,,SAO,276,6,,,,,,,,,,,,,,,,,,,,,26.67,46.67,Castelão (CE),2025-04-26 18:30:00,1,1,333975,14,276,12,354,1745703000,26,True,False
601,1,0,0.0,0.0,124701,0.0,2.0,6,Leandro,Leandro Mathias Silva Bueno,leandro,False,Leandro,,SAO,276,6,,,,,,,,,,,,,,,,,,,,,26.67,46.67,Castelão (CE),2025-04-26 18:30:00,1,1,333975,14,276,12,354,1745703000,26,True,False
604,3,1,0.0,0.0,125467,-0.3,1.53,6,Viery,Viery Fernandes Santos Lopes,viery,False,Viery,,GRE,284,6,,,1.0,,,,,,,,,,,,,,,,,,53.33,20.0,Barradão,2025-04-27 18:30:00,1,1,333974,11,284,16,287,1745789400,26,True,False
605,4,0,0.0,0.0,125469,0.0,4.0,6,Alisson,Alisson Santana Lopes da Fonseca,alisson,False,Alisson,,CAM,282,6,,,,,,,,,,,,,,,,,,,,,60.0,66.67,Maião,2025-04-26 18:30:00,2,2,333971,7,282,9,2305,1745703000,26,True,False
606,3,1,0.0,0.0,125488,1.0,3.62,6,J. Pedro,João Pedro de Sousa Rodrigues,joao-pedro,False,João Pedro,,COR,264,6,,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,40.0,73.33,Maracanã,2025-04-27 16:00:00,0,4,333967,10,264,1,262,1745780400,26,True,False
608,4,0,0.0,0.0,126120,0.0,2.0,6,Marcelinho,Marcelo Braz da Silva,marcelinho,False,Marcelinho,,RBB,280,6,,,,,,,,,,,,,,,,,,,,,46.67,46.67,Vila Belmiro,2025-04-27 20:30:00,2,1,333970,3,280,15,277,1745796600,26,True,False
609,4,3,-0.6,-0.99,126182,1.93,6.22,6,Paulinho,Paulo Lucas Santos de Paula,paulinho,True,Paulinho,,VAS,267,6,,4.0,4.0,,,2.0,,,,,,,,,,,,,,,46.67,73.33,Parque do Sabiá,2025-04-27 18:30:00,0,1,333972,13,267,2,283,1745789400,26,True,False
611,4,3,2.9,0.15,126900,2.13,6.75,6,I. Coronado,Igor Caique Coronado,igor-coronado,True,Igor Coronado,,COR,264,2,,4.0,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,,40.0,73.33,Maracanã,2025-04-27 16:00:00,0,4,333967,10,264,1,262,1745780400,26,True,False
612,6,6,6.7,-0.03,126977,7.38,9.22,6,F. Seabra,Fernando Seabra,fernando-seabra,True,Fernando Seabra,,RBB,280,7,,,,,,,,,,,,4.0,,,,,,,,,46.67,46.67,Vila Belmiro,2025-04-27 20:30:00,2,1,333970,3,280,15,277,1745796600,26,True,False
613,4,0,0.0,0.0,128583,0.0,1.0,6,T. Henrique,Thiago Henrique Gonçalves Silva,thiago-henrique,False,Thiago Henrique,,FLU,266,6,,,,,,,,,,,,,,,,,,,,,66.67,73.33,Nilton Santos (Engenhão),2025-04-26 21:00:00,0,2,333968,6,266,8,263,1745712000,26,True,False
617,5,1,0.0,0.0,129663,1.2,1.35,6,R. Pablo,Ruan Pablo Barbosa Sousa,ruan-pablo,False,Ruan Pablo,,BAH,265,6,,,,1.0,,,,,,,,,,,,,,,,,66.67,60.0,Allianz Parque,2025-04-27 18:30:00,1,0,333969,5,265,4,275,1745789400,26,True,False
618,4,0,0.0,0.0,129666,0.0,2.0,6,JP,João Pedro Murilo de Paula Morais,jp,False,JP,,VAS,267,6,,,,,,,,,,,,,,,,,,,,,46.67,73.33,Parque do Sabiá,2025-04-27 18:30:00,0,1,333972,13,267,2,283,1745789400,26,True,False
620,4,0,0.0,0.0,130255,0.0,3.0,6,G. Estrella,Guilherme Estrella de Paiva,guilherme-estrella,False,Guilherme Estrella,,VAS,267,6,,,,,,,,,,,,,,,,,,,,,46.67,73.33,Parque do Sabiá,2025-04-27 18:30:00,0,1,333972,13,267,2,283,1745789400,26,True,False
622,4,1,0.0,0.0,130279,-0.3,1.67,6,L. Zuccarello,Lukas Rocha Zuccarello,lukas-zuccarello,False,Lukas Zuccarello,,VAS,267,6,,,1.0,,,,,,,,,,,,,,,,,,46.67,73.33,Parque do Sabiá,2025-04-27 18:30:00,0,1,333972,13,267,2,283,1745789400,26,True,False
623,1,0,0.0,0.0,130280,0.0,1.0,6,P. Gabriel,Phillipe Gabriel Pires de Oliveira,phillipe-gabriel,False,Phillipe Gabriel,,VAS,267,6,,,,,,,,,,,,,,,,,,,,,46.67,73.33,Parque do Sabiá,2025-04-27 18:30:00,0,1,333972,13,267,2,283,1745789400,26,True,False
627,3,0,0.0,0.0,130393,0.0,1.0,6,L. Gustavo,Luiz Gustavo Marinho Ribeiro dos Santos,luiz-gustavo,False,Luiz Gustavo,,VAS,267,6,,,,,,,,,,,,,,,,,,,,,46.67,73.33,Parque do Sabiá,2025-04-27 18:30:00,0,1,333972,13,267,2,283,1745789400,26,True,False
629,4,5,-0.1,-0.52,130650,1.06,3.26,6,Bernal,Facundo Bernal Cruz,bernal,True,Bernal,,FLU,266,6,,2.0,4.0,2.0,2.0,3.0,,,2.0,,,,,,,,,,,,66.67,73.33,Nilton Santos (Engenhão),2025-04-26 21:00:00,0,2,333968,6,266,8,263,1745712000,26,True,False
630,2,3,12.2,2.97,130884,4.6,4.82,6,I. Serrote,Igor Eduardo Schlemper,igor-serrote,True,Igor Serrote,,GRE,284,6,,10.0,4.0,,,2.0,,,1.0,,,,,,,,,,,,53.33,20.0,Barradão,2025-04-27 18:30:00,1,1,333974,11,284,16,287,1745789400,26,True,False
634,5,0,0.0,0.0,131518,0.0,1.0,6,Henrique,Henrique Fabiano do Carmo,henrique,False,Henrique,,SAO,276,6,,,,,,,,,,,,,,,,,,,,,26.67,46.67,Castelão (CE),2025-04-26 18:30:00,1,1,333975,14,276,12,354,1745703000,26,True,False
635,5,6,0.2,-2.28,131617,5.07,6.35,6,A. Silva,André Oliveira e Silva,andre-silva,True,André Silva,,SAO,276,6,1.0,4.0,3.0,2.0,2.0,5.0,2.0,2.0,2.0,,,,,,,,,,,,26.67,46.67,Castelão (CE),2025-04-26 18:30:00,1,1,333975,14,276,12,354,1745703000,26,True,False
636,1,0,0.0,0.0,131753,0.0,1.0,6,F. Longo,Felipe Longo Fernandes da Silva,felipe-longo,False,Felipe Longo,,COR,264,6,,,,,,,,,,,,,,,,,,,,,40.0,73.33,Maracanã,2025-04-27 16:00:00,0,4,333967,10,264,1,262,1745780400,26,True,False
638,4,2,0.0,0.0,131825,0.0,2.25,6,D. Góes,Davi Goes Silva Ferreira Carvalho,davi-goes,False,Davi Góes,,JUV,286,6,,,,,,,,,,,,,,,,,,,,,6.67,20.0,Beira-Rio,2025-04-26 16:00:00,1,3,333973,19,286,17,285,1745694000,26,True,False
639,5,4,0.0,-0.69,132071,0.55,4.39,6,Serna,Kevin Steven Serna Jaramillo,serna,True,Serna,,FLU,266,6,,,1.0,,,3.0,,,,,,,,,,1.0,,,,,66.67,73.33,Nilton Santos (Engenhão),2025-04-26 21:00:00,0,2,333968,6,266,8,263,1745712000,26,True,False
642,5,6,6.0,0.46,132580,3.83,6.48,6,Vinicinho,Vinicius Mendonça Pereira,vinicinho,True,Vinicinho,,RBB,280,2,1.0,7.0,4.0,2.0,3.0,10.0,,1.0,1.0,,,,,,,,,,,,46.67,46.67,Vila Belmiro,2025-04-27 20:30:00,2,1,333970,3,280,15,277,1745796600,26,True,False
643,5,0,0.0,0.0,133543,0.0,2.0,6,G. Negão,Guilherme William Silva Inácio,gui-negao,False,Gui Negão,,COR,264,6,,,,,,,,,,,,,,,,,,,,,40.0,73.33,Maracanã,2025-04-27 16:00:00,0,4,333967,10,264,1,262,1745780400,26,True,False
644,5,3,0.0,0.0,133669,2.67,2.76,6,Alysson,Alysson Edward Franco da Rocha dos Santos,alysson,False,Alysson,,GRE,284,6,,2.0,,1.0,1.0,6.0,,,,,,,,,,,,,,,53.33,20.0,Barradão,2025-04-27 18:30:00,1,1,333974,11,284,16,287,1745789400,26,True,False
