Unnamed: 0,atletas.posicao_id,atletas.media_num,atletas.minimo_para_valorizar,atletas.atleta_id,atletas.status_id,atletas.clube_id,atletas.clube.id.full.name,atletas.jogos_num,atletas.pontos_num,atletas.apelido_abreviado,atletas.entrou_em_campo,atletas.apelido,atletas.rodada_id,atletas.preco_num,atletas.slug,atletas.variacao_num,atletas.nome,CA,DS,FC,FS,SG,FD,FF,I,CV,A,FT,G,DE,DP,GS,PS,PC,V,PP,GC,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
169,3,0.0,,88087,6,354,CEA,0,0.0,R. Menezes,False,Ramon Menezes,11,6.0,ramon-menezes,0.0,Ramon Menezes Roma,,,,,,,,,,,,,,,,,,,,,60.0,46.67,Castelão (CE),2025-06-01 18:30:00,1,0,333895,7,282,12,354,1748813400,26,True,True
170,1,0.0,,88136,6,285,INT,0,0.0,Ivan,False,Ivan,11,4.0,ivan,0.0,Ivan Quaresma da Silva,,,,,,,,,,,,,,,,,,,,,66.67,20.0,Beira-Rio,2025-06-01 20:30:00,2,0,333893,6,266,17,285,1748820600,26,True,True
172,5,2.72,,88323,2,264,COR,11,0.8,Ã. Romero,True,Ángel Romero,11,6.1,angel-romero,-0.02,Ángel Rodrigo Romero Villamayor,2.0,9.0,5.0,12.0,,2.0,5.0,4.0,,1.0,1.0,,,,,,,,,,20.0,40.0,Neo Química Arena,2025-06-01 18:30:00,0,0,333889,16,287,10,264,1748813400,26,True,True
173,2,7.9,,88393,6,262,FLA,5,0.0,A. Lucas,False,Ayrton Lucas,11,11.79,ayrton-lucas,0.0,Ayrton Lucas Dantas de Medeiros,1.0,7.0,5.0,3.0,4.0,1.0,1.0,,,,,1.0,,,,,,,,,20.0,73.33,Maracanã,2025-06-01 18:30:00,0,5,333887,18,356,1,262,1748813400,26,True,True
174,2,4.7,,88423,6,277,SAN,2,0.0,Aderlan,False,Aderlan,11,6.64,aderlan,0.0,Aderlan de Lima Silva,,2.0,1.0,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,73.33,46.67,Vila Belmiro,2025-06-01 16:00:00,1,0,333890,8,263,15,277,1748804400,26,True,True
175,4,0.16,,88479,7,283,CRU,5,0.0,Walace,False,Walace,11,3.09,walace,0.0,Walace Souza Silva,1.0,2.0,4.0,,,,,,,,,,,,,,,,,,60.0,73.33,Mineirão,2025-06-01 19:30:00,1,2,333892,4,275,2,283,1748817000,26,True,True
176,6,6.9,,88963,7,283,CRU,11,7.23,L. Jardim,True,Leonardo Jardim,11,10.59,leonardo-jardim,-0.18,José Leonardo Nunes Alves Sousa Jardim,,,,,,,,,,,,,,,,,,7.0,,,60.0,73.33,Mineirão,2025-06-01 19:30:00,1,2,333892,4,275,2,283,1748817000,26,True,True
177,5,2.13,,89048,2,264,COR,8,2.6,H. Hernández,True,Héctor Hernández,11,4.36,hector-hernandez,-0.02,Héctor José Hernández Marrero,,4.0,4.0,3.0,,1.0,2.0,1.0,,,,1.0,,,,,,,,,20.0,40.0,Neo Química Arena,2025-06-01 18:30:00,0,0,333889,16,287,10,264,1748813400,26,True,True
178,4,4.14,,89256,6,262,FLA,9,2.9,Gerson,True,Gerson,11,9.64,gerson,-0.41,Gerson Santos da Silva,,11.0,9.0,20.0,,4.0,2.0,,1.0,2.0,,,,,,,,,,,20.0,73.33,Maracanã,2025-06-01 18:30:00,0,5,333887,18,356,1,262,1748813400,26,True,True
180,2,9.77,,89275,6,283,CRU,7,10.4,William,True,William,11,16.85,william,0.04,Willian de Asevedo Furtado,1.0,24.0,10.0,6.0,4.0,1.0,3.0,2.0,,2.0,,,,,,,,,,,60.0,73.33,Mineirão,2025-06-01 19:30:00,1,2,333892,4,275,2,283,1748817000,26,True,True
181,4,0.0,,89285,6,2305,MIR,0,0.0,M. Sales,False,Matheus Sales,11,4.0,matheus-sales,0.0,Matheus de Sales Cabral,,,,,,,,,,,,,,,,,,,,,6.67,66.67,Maião,2025-06-01 11:00:00,0,1,333891,20,292,9,2305,1748786400,26,True,True
184,4,3.03,,89637,2,285,INT,8,1.9,T. Maia,True,Thiago Maia,11,5.09,thiago-maia,-0.74,Thiago Maia Alencar,,6.0,3.0,3.0,,,2.0,,,1.0,,1.0,,,,,,,,,66.67,20.0,Beira-Rio,2025-06-01 20:30:00,2,0,333893,6,266,17,285,1748820600,26,True,True
189,5,2.34,,90285,6,262,FLA,11,2.5,B. Henrique,True,Bruno Henrique,11,6.12,bruno-henrique,0.13,Bruno Henrique Pinto,1.0,4.0,8.0,10.0,,5.0,6.0,6.0,,,,1.0,,,,,,,,,20.0,73.33,Maracanã,2025-06-01 18:30:00,0,5,333887,18,356,1,262,1748813400,26,True,True
190,5,2.12,,90307,6,262,FLA,6,0.0,Juninho,True,Juninho,11,4.71,juninho,-0.39,Olávio Vieira dos Santos Júnior,,2.0,4.0,2.0,,2.0,2.0,1.0,,,2.0,,,,,,,,,,20.0,73.33,Maracanã,2025-06-01 18:30:00,0,5,333887,18,356,1,262,1748813400,26,True,True
191,5,0.0,,90309,5,267,VAS,0,0.0,David,False,David,11,6.0,david,0.0,David Correa da Fonseca,,,,,,,,,,,,,,,,,,,,,46.67,46.67,São Januário,2025-05-31 21:00:00,2,0,333888,3,280,13,267,1748736000,26,True,True
193,4,3.9,,90449,5,265,BAH,1,0.0,Rezende,False,Rezende,11,4.16,rezende,0.0,Júlio César de Rezende Miranda,,2.0,2.0,3.0,,,,,,,,,,,,,,,,,26.67,66.67,Casa de Apostas Arena Fonte Nova,2025-05-31 18:30:00,1,2,333894,14,276,5,265,1748727000,26,True,True
194,4,2.98,,90588,6,286,JUV,5,6.5,Caíque,True,Caíque,11,5.04,caique,1.0,Caique de Jesus Gonçalves,1.0,10.0,8.0,5.0,,,1.0,,,,,,,,,,,,,,53.33,6.67,Alfredo Jaconi,2025-06-01 16:00:00,2,0,333896,11,284,19,286,1748804400,26,True,True
196,3,3.56,,90768,7,283,CRU,10,1.5,F. Bruno,True,Fabrício Bruno,11,7.52,fabricio-bruno,-0.7,Fabrício Bruno Soares de Faria,3.0,12.0,7.0,3.0,4.0,1.0,,,,,,,,,,,,,,,60.0,73.33,Mineirão,2025-06-01 19:30:00,1,2,333892,4,275,2,283,1748817000,26,True,True
199,1,3.68,,91101,6,265,BAH,4,0.0,Ronaldo,False,Ronaldo,11,5.47,ronaldo,0.0,Ronaldo de Oliveira Strada,,,,2.0,,,,,,,,,9.0,1.0,4.0,,1.0,,,,26.67,66.67,Casa de Apostas Arena Fonte Nova,2025-05-31 18:30:00,1,2,333894,14,276,5,265,1748727000,26,True,True
200,5,4.3,,91130,5,354,CEA,2,0.0,Fernandinho,False,Fernandinho,11,5.88,fernandinho,0.0,Fernando José Marques Maciel,,4.0,1.0,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,60.0,46.67,Castelão (CE),2025-06-01 18:30:00,1,0,333895,7,282,12,354,1748813400,26,True,True
201,3,0.8,,91203,6,354,CEA,1,0.0,Éder,False,Éder,11,2.9,eder,0.0,Éder Ferreira Graminho,,,,,,,1.0,,,,,,,,,,,,,,60.0,46.67,Castelão (CE),2025-06-01 18:30:00,1,0,333895,7,282,12,354,1748813400,26,True,True
202,4,2.89,,91473,5,262,FLA,9,0.0,E. Pulgar,True,Erick Pulgar,11,6.34,erick-pulgar,-0.21,Erick Antonio Pulgar Farfán,2.0,12.0,13.0,7.0,,2.0,,,,,,1.0,,,,,,,,,20.0,73.33,Maracanã,2025-06-01 18:30:00,0,5,333887,18,356,1,262,1748813400,26,True,True
203,3,2.04,,91509,6,286,JUV,5,4.9,R. Sam,True,Rodrigo Sam,11,4.25,rodrigo-sam,0.53,Rodrigo Eduardo da Silva,2.0,8.0,8.0,4.0,,,1.0,2.0,,,,,,,,,,,,,53.33,6.67,Alfredo Jaconi,2025-06-01 16:00:00,2,0,333896,11,284,19,286,1748804400,26,True,True
206,4,0.0,,91627,6,286,JUV,0,0.0,D. Vieira,False,Dudu Vieira,11,3.0,dudu-vieira,0.0,Carlos Eduardo de Souza Vieira,,,,,,,,,,,,,,,,,,,,,53.33,6.67,Alfredo Jaconi,2025-06-01 16:00:00,2,0,333896,11,284,19,286,1748804400,26,True,True
209,3,2.75,,91772,7,265,BAH,8,0.5,D. Duarte,True,David Duarte,11,4.61,david-duarte,-0.27,David de Duarte Macedo,1.0,3.0,6.0,6.0,3.0,,3.0,1.0,,,,,,,,,,,,,26.67,66.67,Casa de Apostas Arena Fonte Nova,2025-05-31 18:30:00,1,2,333894,14,276,5,265,1748727000,26,True,True
211,3,4.59,,91866,7,277,SAN,10,1.7,Z. Ivaldo,True,Zé Ivaldo,11,6.75,ze-ivaldo,-0.48,José Ivaldo Almeida Silva,4.0,17.0,12.0,6.0,2.0,,9.0,2.0,,,,1.0,,,,,,,,,73.33,46.67,Vila Belmiro,2025-06-01 16:00:00,1,0,333890,8,263,15,277,1748804400,26,True,True
213,5,1.91,,92085,6,286,JUV,9,0.7,Giovanny,True,Giovanny,11,3.38,giovanny,-0.28,Giovanny Bariani Marques,,3.0,4.0,10.0,,,5.0,1.0,,1.0,,,,,,,,,,,53.33,6.67,Alfredo Jaconi,2025-06-01 16:00:00,2,0,333896,11,284,19,286,1748804400,26,True,True
215,3,1.95,,92182,7,285,INT,4,3.8,Juninho,True,Juninho,11,4.35,juninho,0.15,José Carlos Ferreira Júnior,1.0,4.0,1.0,3.0,,,2.0,,,,,,,,,,,,,,66.67,20.0,Beira-Rio,2025-06-01 20:30:00,2,0,333893,6,266,17,285,1748820600,26,True,True
217,3,3.44,,92440,7,264,COR,7,6.2,A. Ramalho,True,André Ramalho,11,6.4,andre-ramalho,0.08,André Ramalho Silva,2.0,8.0,9.0,2.0,3.0,,1.0,,,,,,,,,,,,,,20.0,40.0,Neo Química Arena,2025-06-01 18:30:00,0,0,333889,16,287,10,264,1748813400,26,True,True
221,5,2.91,,92854,7,285,INT,7,0.0,Borré,True,Borré,11,10.57,borre,-1.45,Rafael Santos Borré Maury,,2.0,3.0,2.0,,,2.0,3.0,,,,2.0,,,,,,,,,66.67,20.0,Beira-Rio,2025-06-01 20:30:00,2,0,333893,6,266,17,285,1748820600,26,True,True
222,4,1.64,,92981,6,285,INT,10,0.0,Ronaldo,False,Ronaldo,11,3.34,ronaldo,0.0,Ronaldo da Silva Souza Guerrero,2.0,14.0,15.0,2.0,,2.0,2.0,2.0,1.0,,,,,,,,,,,,66.67,20.0,Beira-Rio,2025-06-01 20:30:00,2,0,333893,6,266,17,285,1748820600,26,True,True
223,2,2.92,,93236,6,354,CEA,6,0.0,R. Ramos,False,Rafael Ramos,11,4.7,rafael-ramos,0.0,Rafael António Figueiredo Ramos,1.0,6.0,10.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,60.0,46.67,Castelão (CE),2025-06-01 18:30:00,1,0,333895,7,282,12,354,1748813400,26,True,True
224,3,5.7,,93372,7,277,SAN,2,4.9,J. Basso,True,João Basso,11,7.5,joao-basso,0.41,João Othávio Basso,,4.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,73.33,46.67,Vila Belmiro,2025-06-01 16:00:00,1,0,333890,8,263,15,277,1748804400,26,True,True
225,5,2.16,,93478,2,283,CRU,10,1.0,Wanderson,True,Wanderson,11,5.35,wanderson,-0.07,Wanderson Maciel Sousa Campos,1.0,5.0,11.0,4.0,,6.0,8.0,2.0,,,1.0,,,,,,,,,,60.0,73.33,Mineirão,2025-06-01 19:30:00,1,2,333892,4,275,2,283,1748817000,26,True,True
226,2,3.23,,93637,6,354,CEA,3,-0.3,B. Tubarão,True,Bruno Tubarão,11,5.22,bruno-tubarao,-0.93,Bruno Nunes de Barros,,,1.0,,2.0,,,,,,,,,,,,,,,,60.0,46.67,Castelão (CE),2025-06-01 18:30:00,1,0,333895,7,282,12,354,1748813400,26,True,True
227,2,7.86,,93716,7,267,VAS,8,1.6,P. Henrique,True,Paulo Henrique,11,11.97,paulo-henrique,-1.09,Paulo Henrique de Oliveira Alves,3.0,31.0,11.0,4.0,2.0,1.0,2.0,1.0,,1.0,1.0,,,,,,,,,,46.67,46.67,São Januário,2025-05-31 21:00:00,2,0,333888,3,280,13,267,1748736000,26,True,True
229,1,0.0,,93834,6,354,CEA,0,0.0,Keiller,False,Keiller,11,3.0,keiller,0.0,Keiller da Silva Nunes,,,,,,,,,,,,,,,,,,,,,60.0,46.67,Castelão (CE),2025-06-01 18:30:00,1,0,333895,7,282,12,354,1748813400,26,True,True
230,1,5.93,,93879,6,286,JUV,6,6.1,Marcão,True,Marcão,11,7.5,marcao,0.53,Marcos Venicius Santos Miranda - Vinícius,,,,,1.0,,,,,,,,32.0,,10.0,,1.0,,,,53.33,6.67,Alfredo Jaconi,2025-06-01 16:00:00,2,0,333896,11,284,19,286,1748804400,26,True,True
235,4,1.26,,94154,7,264,COR,9,0.0,Maycon,True,Maycon,11,3.4,maycon,-0.54,Maycon de Andrade Barberan,,7.0,3.0,2.0,,,1.0,,,,,,,,,,,,,,20.0,40.0,Neo Química Arena,2025-06-01 18:30:00,0,0,333889,16,287,10,264,1748813400,26,True,True
236,4,1.64,,94156,6,277,SAN,7,1.0,D. Pituca,True,Diego Pituca,11,4.3,diego-pituca,-0.21,Diego Cristiano Evaristo,2.0,1.0,2.0,6.0,,,2.0,,,,,1.0,,,,,,,,,73.33,46.67,Vila Belmiro,2025-06-01 16:00:00,1,0,333890,8,263,15,277,1748804400,26,True,True
237,5,7.05,,94207,7,277,SAN,8,6.5,Guilherme,True,Guilherme,11,9.56,guilherme,-0.34,Guilherme Augusto Vieira dos Santos,,18.0,4.0,16.0,,5.0,11.0,2.0,,,,1.0,,,,,,,,,73.33,46.67,Vila Belmiro,2025-06-01 16:00:00,1,0,333890,8,263,15,277,1748804400,26,True,True
238,5,2.4,,94444,6,286,JUV,5,2.3,M. Babi,True,Matheus Babi,11,4.23,matheus-babi,0.12,Matheus Barcelos da Silva,,2.0,2.0,2.0,,,1.0,2.0,,,,1.0,,,,,,,,,53.33,6.67,Alfredo Jaconi,2025-06-01 16:00:00,2,0,333896,11,284,19,286,1748804400,26,True,True
240,3,0.0,,94514,6,267,VAS,0,0.0,L. Oliveira,False,Lucas Oliveira,11,4.0,lucas-oliveira,0.0,Lucas da Cruz Oliveira,,,,,,,,,,,,,,,,,,,,,46.67,46.67,São Januário,2025-05-31 21:00:00,2,0,333888,3,280,13,267,1748736000,26,True,True
241,5,7.17,,94583,6,262,FLA,8,8.9,Pedro,True,Pedro,11,17.65,pedro,0.76,Pedro Guilherme Abreu dos Santos,,2.0,1.0,7.0,,7.0,1.0,1.0,,2.0,1.0,4.0,,,,1.0,,,1.0,,20.0,73.33,Maracanã,2025-06-01 18:30:00,0,5,333887,18,356,1,262,1748813400,26,True,True
243,2,3.67,,95127,6,354,CEA,4,0.9,Nicolas,True,Nicolas,11,5.6,nicolas,-0.74,Nicolas Vecchiato da Silva - Vichiatto / Vechiatto,,3.0,2.0,,2.0,,1.0,,,,,,,,,,,,,,60.0,46.67,Castelão (CE),2025-06-01 18:30:00,1,0,333895,7,282,12,354,1748813400,26,True,True
244,5,4.73,,95131,6,286,JUV,9,1.4,G. Taliari,True,Gabriel Taliari,11,8.22,gabriel-taliari,-0.44,Gabriel Pereira Taliari,,5.0,13.0,13.0,,4.0,5.0,3.0,,1.0,1.0,2.0,,,,,,,,,53.33,6.67,Alfredo Jaconi,2025-06-01 16:00:00,2,0,333896,11,284,19,286,1748804400,26,True,True
