,atletas.jogos_num,atletas.atleta_id,atletas.rodada_id,atletas.clube_id,atletas.posicao_id,atletas.status_id,atletas.pontos_num,atletas.media_num,atletas.variacao_num,atletas.preco_num,atletas.entrou_em_campo,atletas.slug,atletas.apelido,atletas.apelido_abreviado,atletas.nome,A,CA,DS,FC,FD,FF,FS,G,I,SG,FT,PS,CV,PC,V,DE,GS,DP,PP,GC,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
242,10,91706,15,284,2,6,5.1,4.11,0.15,7.1,True,marlon,Marlon,Marlon,Marlon Rodrigues Xavier,0,2,19,12,1,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,53.33,26.67,São Januário,2025-07-19 17:30:00,1,1,334028,13,284,16,267,1752957000,26,True,True
243,10,37281,15,284,6,6,4.25,5.33,0.09,9.66,True,mano-menezes,Mano Menezes,M. Menezes,Luis Antônio Venker de Menezes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,53.33,26.67,São Januário,2025-07-19 17:30:00,1,1,334028,13,284,16,267,1752957000,26,True,True
244,10,73384,15,266,2,7,0.0,4.44,0.0,8.82,False,samuel-xavier,Samuel Xavier,S. Xavier,Samuel Xavier Brito,1,2,8,13,1,2,15,1,0,3,0,0,0,0,0,0,0,0,0,0,46.67,66.67,Maracanã,2025-07-20 19:30:00,0,1,334027,8,266,2,262,1753050600,26,True,True
245,13,78117,15,266,5,6,0.1,1.58,-0.36,3.38,True,everaldo,Everaldo,Everaldo,Everaldo Stum,0,1,2,14,5,6,8,1,1,0,0,0,0,0,0,0,0,0,0,0,46.67,66.67,Maracanã,2025-07-20 19:30:00,0,1,334027,8,266,2,262,1753050600,26,True,True
246,4,78855,15,266,3,6,0.0,5.15,0.0,7.89,False,thiago-santos,Thiago Santos,T. Santos,Thiago dos Santos,0,0,4,3,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,46.67,66.67,Maracanã,2025-07-20 19:30:00,0,1,334027,8,266,2,262,1753050600,26,True,True
247,9,100987,15,266,4,7,0.7,2.07,-0.13,4.65,True,nonato,Nonato,Nonato,Gustavo Nonato Santana,0,3,11,8,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,66.67,Maracanã,2025-07-20 19:30:00,0,1,334027,8,266,2,262,1753050600,26,True,True
248,10,78445,15,266,2,6,0.5,6.37,-0.45,8.88,True,rene,Renê,Renê,Renê Rodrigues Martins,0,0,25,8,0,2,8,1,0,3,0,0,0,0,0,0,0,0,0,0,46.67,66.67,Maracanã,2025-07-20 19:30:00,0,1,334027,8,266,2,262,1753050600,26,True,True
249,0,69014,15,266,3,6,0.0,0.0,0.0,5.0,False,manoel,Manoel,Manoel,Manoel Messias Silva Carvalho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,66.67,Maracanã,2025-07-20 19:30:00,0,1,334027,8,266,2,262,1753050600,26,True,True
250,4,103672,15,266,2,7,0.0,3.73,0.0,7.28,False,gabriel-fuentes,Gabriel Fuentes,G. Fuentes,Gabriel Rafael Fuentes Gómez,0,1,11,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,66.67,Maracanã,2025-07-20 19:30:00,0,1,334027,8,266,2,262,1753050600,26,True,True
251,7,62977,15,266,4,6,0.0,1.69,0.0,6.62,False,ganso,Ganso,Ganso,Paulo Henrique Chagas de Lima,0,1,5,1,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,66.67,Maracanã,2025-07-20 19:30:00,0,1,334027,8,266,2,262,1753050600,26,True,True
