Unnamed: 0,atletas.clube.id.full.name,atletas.minimo_para_valorizar,atletas.pontos_num,atletas.atleta_id,atletas.clube_id,atletas.preco_num,atletas.status_id,atletas.variacao_num,atletas.media_num,atletas.posicao_id,atletas.apelido_abreviado,atletas.rodada_id,atletas.nome,atletas.entrou_em_campo,atletas.slug,atletas.jogos_num,atletas.apelido,A,DS,FC,FD,FF,FS,G,I,CA,DE,GS,DP,SG,V,FT,PS,PC,CV,PP,GC,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
242,VAS,,0.0,94514,267,4.0,6,0.0,0.0,3,L. Oliveira,7,Lucas da Cruz Oliveira,False,lucas-oliveira,0,Lucas Oliveira,,,,,,,,,,,,,,,,,,,,,60.0,46.67,Mané Garrincha,2025-05-04 16:00:00,1,0,334008,4,275,13,267,1746385200,26,True,True
244,RBB,,10.1,94968,280,12.7,7,0.79,10.43,2,J. Capixaba,7,Luis Antônio da Rocha Júnior,True,juninho-capixaba,7,Juninho Capixaba,,23.0,10.0,3.0,5.0,14.0,1.0,1.0,1.0,,,,4.0,,,,,,,,66.67,46.67,Cícero de Souza Marques,2025-05-05 19:00:00,0,1,334011,9,2305,3,280,1746482400,26,True,True
245,CEA,,5.0,95127,354,6.34,6,0.61,4.6,2,Nicolas,7,Nicolas Vecchiato da Silva - Vichiatto / Vechiatto,True,nicolas,3,Nicolas,,2.0,,,1.0,,,,,,,,2.0,,,,,,,,20.0,46.67,Presidente Vargas (CE),2025-05-03 18:30:00,0,1,334015,16,287,12,354,1746307800,26,True,True
246,JUV,,1.0,95131,286,9.14,6,-1.3,6.82,5,G. Taliari,7,Gabriel Pereira Taliari,True,gabriel-taliari,5,Gabriel Taliari,1.0,2.0,7.0,3.0,3.0,7.0,2.0,3.0,,,,,,,1.0,,,,,,60.0,6.67,Alfredo Jaconi,2025-05-05 20:00:00,1,0,334016,7,282,19,286,1746486000,26,True,True
248,JUV,,1.5,95354,286,2.73,7,0.14,0.9,4,Giraldo,7,Daniel Eduardo Giraldo Cárdenas,True,giraldo,6,Giraldo,,4.0,9.0,,2.0,3.0,,,1.0,,,,,,,,,,,,60.0,6.67,Alfredo Jaconi,2025-05-05 20:00:00,1,0,334016,7,282,19,286,1746486000,26,True,True
251,SAO,,0.0,95466,276,7.88,6,0.0,3.9,2,I. Vinícius,7,Igor Vinícius de Souza,False,igor-vinicius,3,Igor Vinícius,,3.0,2.0,1.0,2.0,2.0,,,1.0,,,,1.0,,,,,,,,20.0,26.67,Morumbis,2025-05-02 21:30:00,0,0,334010,18,356,14,276,1746232200,26,False,True
252,COR,,7.3,95556,264,6.72,7,0.94,4.05,4,Raniele,7,Raniele Almeida Melo,True,raniele,6,Raniele,,11.0,5.0,1.0,2.0,15.0,,,1.0,,,,,,,,,,,,20.0,40.0,Neo Química Arena,2025-05-03 18:30:00,2,4,334009,17,285,10,264,1746307800,26,True,True
254,VAS,,0.0,95936,267,3.0,6,0.0,0.0,1,D. Fuzato,7,Daniel Cerântula Fuzato,False,daniel-fuzato,0,Daniel Fuzato,,,,,,,,,,,,,,,,,,,,,60.0,46.67,Mané Garrincha,2025-05-04 16:00:00,1,0,334008,4,275,13,267,1746385200,26,True,True
255,FLU,,-0.6,96340,266,5.2,6,-0.5,2.52,4,Lima,7,Vinicius Moreira de Lima,True,lima,6,Lima,,1.0,4.0,1.0,2.0,10.0,1.0,,1.0,,,,,,,,,,,,6.67,66.67,Maracanã,2025-05-03 18:30:00,1,2,334007,20,292,6,266,1746307800,26,True,True
256,COR,,-1.3,96342,264,3.86,6,-0.75,0.1,4,Charles,7,Charles Rigon Mattos,True,charles,2,Charles,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,20.0,40.0,Neo Química Arena,2025-05-03 18:30:00,2,4,334009,17,285,10,264,1746307800,26,True,True
