,atletas.jogos_num,atletas.atleta_id,atletas.rodada_id,atletas.clube_id,atletas.posicao_id,atletas.status_id,atletas.pontos_num,atletas.media_num,atletas.variacao_num,atletas.preco_num,atletas.entrou_em_campo,atletas.slug,atletas.apelido,atletas.apelido_abreviado,atletas.nome,CA,DS,FC,FD,FF,FS,I,SG,A,FT,G,CV,PC,PS,DE,GS,V,DP,PP,GC,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
290,14,85403,16,2305,4,6,1.2,2.89,0.03,5.06,True,danielzinho,Danielzinho,Danielzinho,Daniel de Oliveira Sertanejo,3,14,18,3,4,24,0,0,1,1,0,0,0,1,0,0,0,0,0,0,86.67,20.0,Castelão (CE),2025-07-23 19:00:00,2.0,0.0,334075,7,2305,13,354,1753308000,26,True,True
291,2,107236,16,275,2,2,5.2,3.2,1.25,5.02,True,vanderlan,Vanderlan,Vanderlan,Vanderlan Barbosa da Silva,0,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,40.0,Maracanã,2025-07-23 19:00:00,2.0,1.0,334067,3,275,8,266,1753308000,26,True,True
292,11,71684,16,275,3,7,-0.6,3.85,-1.09,8.4,True,gustavo-gomez,Gustavo Gómez,G. Gómez,Gustavo Raúl Gómez Portillo,3,15,15,1,4,7,5,4,0,0,0,0,0,0,0,0,0,0,0,0,46.67,40.0,Maracanã,2025-07-23 19:00:00,2.0,1.0,334067,3,275,8,266,1753308000,26,True,True
293,11,105903,16,2305,4,6,0.0,2.19,0.0,3.29,False,jose-aldo,José Aldo,J. Aldo,José Aldo Soares de Oliveira Filho,2,14,10,1,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,86.67,20.0,Castelão (CE),2025-07-23 19:00:00,2.0,0.0,334075,7,2305,13,354,1753308000,26,True,True
294,3,81150,16,275,2,6,0.0,3.4,0.0,8.36,False,mayke,Mayke,Mayke,Mayke Rocha de Oliveira,1,5,10,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,46.67,40.0,Maracanã,2025-07-23 19:00:00,2.0,1.0,334067,3,275,8,266,1753308000,26,True,True
295,10,104085,16,275,3,7,0.0,4.53,0.0,7.33,False,bruno-fuchs,Bruno Fuchs,B. Fuchs,Bruno de Lara Fuchs,3,14,8,0,1,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,46.67,40.0,Maracanã,2025-07-23 19:00:00,2.0,1.0,334067,3,275,8,266,1753308000,26,True,True
296,13,124526,16,275,2,6,2.4,6.34,-0.15,9.21,True,giay,Giay,Giay,Agustín Giay,0,33,15,0,3,20,0,5,0,0,0,0,0,0,0,0,0,0,0,0,46.67,40.0,Maracanã,2025-07-23 19:00:00,2.0,1.0,334067,3,275,8,266,1753308000,26,True,True
297,11,112869,16,275,4,7,5.2,2.65,0.44,5.19,True,anibal-moreno,Aníbal Moreno,A. Moreno,Aníbal Ismael Moreno,1,17,7,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,40.0,Maracanã,2025-07-23 19:00:00,2.0,1.0,334067,3,275,8,266,1753308000,26,True,True
298,10,105647,16,275,4,7,10.4,4.04,0.18,10.09,True,mauricio,Maurício,Maurício,Maurício Magalhães Prado,0,7,8,2,5,4,2,0,0,0,3,0,0,0,0,0,0,0,0,0,46.67,40.0,Maracanã,2025-07-23 19:00:00,2.0,1.0,334067,3,275,8,266,1753308000,26,True,True
299,12,102950,16,275,5,7,0.7,5.05,-1.26,10.16,True,facundo-torres,Facundo Torres,F. Torres,Facundo Daniel Torres Pérez,2,9,9,5,3,15,1,0,2,1,3,0,1,0,0,0,0,0,0,0,46.67,40.0,Maracanã,2025-07-23 19:00:00,2.0,1.0,334067,3,275,8,266,1753308000,26,True,True
300,0,92811,16,275,5,6,0.0,0.0,0.0,6.0,False,bruno-rodrigues,Bruno Rodrigues,B. Rodrigues,Bruno Rafael Rodrigues do Nascimento,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,40.0,Maracanã,2025-07-23 19:00:00,2.0,1.0,334067,3,275,8,266,1753308000,26,True,True
301,5,105585,16,2305,4,6,0.0,0.1,-0.25,1.66,True,roni,Roni,Roni,Roni Medeiros de Moura,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.67,20.0,Castelão (CE),2025-07-23 19:00:00,2.0,0.0,334075,7,2305,13,354,1753308000,26,True,True
302,14,110506,16,275,6,7,5.25,6.26,-0.25,12.22,True,abel-ferreira,Abel Ferreira,A. Ferreira,Abel Fernando Moreira Ferreira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,46.67,40.0,Maracanã,2025-07-23 19:00:00,2.0,1.0,334067,3,275,8,266,1753308000,26,True,True
303,12,108683,16,275,4,6,0.0,3.91,-0.2,5.51,True,emiliano-martinez,Emiliano Martínez,E. Martínez,Emiliano Martínez Toranza,1,24,12,2,2,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,46.67,40.0,Maracanã,2025-07-23 19:00:00,2.0,1.0,334067,3,275,8,266,1753308000,26,True,True
304,1,141452,16,275,5,6,0.0,0.5,0.0,1.1,False,thalys,Thalys,Thalys,Thalys Henrique Gomes de Araújo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,40.0,Maracanã,2025-07-23 19:00:00,2.0,1.0,334067,3,275,8,266,1753308000,26,True,True
305,12,113103,16,275,5,6,4.0,4.64,0.48,8.9,True,flaco-lopez,Flaco López,F. López,José Manuel Alberto López,3,15,14,3,14,18,4,0,0,0,2,0,0,1,0,0,0,0,0,0,46.67,40.0,Maracanã,2025-07-23 19:00:00,2.0,1.0,334067,3,275,8,266,1753308000,26,True,True
