atletas.jogos_num,atletas.atleta_id,atletas.rodada_id,atletas.clube_id,atletas.posicao_id,atletas.status_id,atletas.pontos_num,atletas.media_num,atletas.variacao_num,atletas.preco_num,atletas.entrou_em_campo,atletas.slug,atletas.apelido,atletas.apelido_abreviado,atletas.nome,CA,DS,FC,FD,FF,FS,G,I,A,PS,FT,SG,DE,DP,GS,V,PC,CV,PP,GC,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
6,122755,18,292,3,6,0.0,1.42,0.0,3.6,False,lucas-cunha,Lucas Cunha,L. Cunha,Lucas de Souza Cunha,2,4,5,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,73.33,20.0,Ilha do Retiro,2025-08-02 16:00:00,0,0,334145,4,265,20,292,1754161200,26,True,False
13,141160,18,292,4,7,2.4,3.19,0.34,5.29,True,ze-lucas,Zé Lucas,Z. Lucas,José Lucas Gomes da Silva,2,21,13,4,4,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,73.33,20.0,Ilha do Retiro,2025-08-02 16:00:00,0,0,334145,4,265,20,292,1754161200,26,True,False
0,111465,18,292,3,6,0.0,0.0,0.0,3.0,False,renzo,Renzo,Renzo,Renzo Azevedo Pimentel de Moura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.33,20.0,Ilha do Retiro,2025-08-02 16:00:00,0,0,334145,4,265,20,292,1754161200,26,True,False
14,80583,18,292,4,7,0.0,3.36,0.0,7.06,False,lucas-lima,Lucas Lima,L. Lima,Lucas Rafael Araújo Lima,6,13,18,8,1,22,1,5,2,0,0,0,0,0,0,0,0,0,0,0,73.33,20.0,Ilha do Retiro,2025-08-02 16:00:00,0,0,334145,4,265,20,292,1754161200,26,True,False
0,137375,18,292,5,6,0.0,0.0,0.0,1.0,False,micael,Micael,Micael,Micael de Barros Viturino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.33,20.0,Ilha do Retiro,2025-08-02 16:00:00,0,0,334145,4,265,20,292,1754161200,26,True,False
0,107698,18,292,1,6,0.0,0.0,0.0,1.0,False,adriano,Adriano,Adriano,Antônio Adriano Nascimento de Sousa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.33,20.0,Ilha do Retiro,2025-08-02 16:00:00,0,0,334145,4,265,20,292,1754161200,26,True,False
0,141158,18,292,4,6,0.0,0.0,0.0,2.0,False,breno,Breno,Breno,Breno José da Silva Santos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.33,20.0,Ilha do Retiro,2025-08-02 16:00:00,0,0,334145,4,265,20,292,1754161200,26,True,False
11,70696,18,287,6,7,4.94,5.2,0.06,8.81,True,fabio-carille,Fábio Carille,F. Carille,Fábio Luiz Carille de Araújo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,73.33,46.67,Barradão,2025-08-03 19:30:00,2,2,334140,3,275,16,287,1754260200,26,True,False
13,99253,18,292,3,6,0.0,3.05,0.0,5.55,False,chico,Chico,Chico,Francisco Alves da Silva Neto - Melo,1,17,7,1,5,6,0,0,0,0,0,2,0,0,0,0,1,0,0,0,73.33,20.0,Ilha do Retiro,2025-08-02 16:00:00,0,0,334145,4,265,20,292,1754161200,26,True,False
11,104271,18,292,2,5,0.0,4.79,0.0,5.91,False,hereda,Hereda,Hereda,Diogo Hereda da Silva,1,17,12,2,7,18,0,2,1,0,0,2,0,0,0,0,0,0,0,0,73.33,20.0,Ilha do Retiro,2025-08-02 16:00:00,0,0,334145,4,265,20,292,1754161200,26,True,False
