Unnamed: 0,atletas.rodada_id,atletas.status_id,atletas.pontos_num,atletas.variacao_num,atletas.media_num,atletas.slug,atletas.apelido,atletas.atleta_id,atletas.nome,atletas.clube.id.full.name,atletas.entrou_em_campo,atletas.jogos_num,atletas.clube_id,atletas.posicao_id,atletas.preco_num,atletas.minimo_para_valorizar,atletas.apelido_abreviado,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
179,1,7,0,0,0,william,William,89275,Willian de Asevedo Furtado,CRU,False,0,283,2,13,,William,66.67,73.33,Mineirão,2025-03-29 18:30:00,1,2,333872,9,2305,2,283,1743283800,26,True,True
181,1,7,0,0,0,braithwaite,Braithwaite,89368,Martin Christensen Braithwaite,GRE,False,0,284,5,18,,Braithwaite,60.0,53.33,Arena do Grêmio,2025-03-29 18:30:00,1,2,333873,7,282,11,284,1743283800,26,True,True
185,1,7,0,0,0,calleri,Calleri,89840,Jonathan Calleri,SAO,False,0,276,5,10,,Calleri,6.67,26.67,Morumbis,2025-03-29 18:30:00,0,0,333870,20,292,14,276,1743283800,26,True,True
186,1,6,0,0,0,cristaldo,Cristaldo,89846,Franco Cristaldo,GRE,False,0,284,4,10,,Cristaldo,60.0,53.33,Arena do Grêmio,2025-03-29 18:30:00,1,2,333873,7,282,11,284,1743283800,26,True,True
187,1,6,0,0,0,dodi,Dodi,89883,Douglas Moreira Fagundes,GRE,False,0,284,4,4,,Dodi,60.0,53.33,Arena do Grêmio,2025-03-29 18:30:00,1,2,333873,7,282,11,284,1743283800,26,True,True
188,1,6,0,0,0,bruno-pacheco,Bruno Pacheco,90061,Bruno de Jesus Pacheco,FOR,False,0,356,2,8,,B. Pacheco,66.67,20.0,Castelão (CE),2025-03-29 18:30:00,0,2,333875,6,266,18,356,1743283800,26,True,True
189,1,6,0,0,0,bruno-henrique,Bruno Henrique,90285,Bruno Henrique Pinto,FLA,False,0,262,5,8,,B. Henrique,20.0,73.33,Maracanã,2025-03-29 21:00:00,1,1,333867,17,285,1,262,1743292800,26,True,True
190,1,6,0,0,0,juninho,Juninho,90307,Olávio Vieira dos Santos Júnior,FLA,False,0,262,5,5,,Juninho,20.0,73.33,Maracanã,2025-03-29 21:00:00,1,1,333867,17,285,1,262,1743292800,26,True,True
191,1,6,0,0,0,david,David,90309,David Correa da Fonseca,VAS,False,0,267,5,6,,David,46.67,46.67,São Januário,2025-03-30 18:30:00,1,2,333868,15,277,13,267,1743370200,26,True,True
192,1,6,0,0,0,rezende,Rezende,90449,Júlio César de Rezende Miranda,BAH,False,0,265,4,3,,Rezende,40.0,66.67,Casa de Apostas Arena Fonte Nova,2025-03-30 20:00:00,1,1,333874,10,264,5,265,1743375600,26,True,True
193,1,6,0,0,0,caique,Caíque,90588,Caique de Jesus Gonçalves,JUV,False,0,286,4,4,,Caíque,20.0,6.67,Alfredo Jaconi,2025-03-29 18:30:00,0,2,333876,16,287,19,286,1743283800,26,True,True
195,1,7,0,0,0,fabricio-bruno,Fabrício Bruno,90768,Fabrício Bruno Soares de Faria,CRU,False,0,283,3,11,,F. Bruno,66.67,73.33,Mineirão,2025-03-29 18:30:00,1,2,333872,9,2305,2,283,1743283800,26,True,True
200,1,7,0,0,0,erick-pulgar,Erick Pulgar,91473,Erick Antonio Pulgar Farfán,FLA,False,0,262,4,9,,E. Pulgar,20.0,73.33,Maracanã,2025-03-29 21:00:00,1,1,333867,17,285,1,262,1743292800,26,True,True
201,1,6,0,0,0,rodrigo-sam,Rodrigo Sam,91509,Rodrigo Eduardo da Silva,JUV,False,0,286,3,4,,R. Sam,20.0,6.67,Alfredo Jaconi,2025-03-29 18:30:00,0,2,333876,16,287,19,286,1743283800,26,True,True
202,1,7,0,0,0,arboleda,Arboleda,91573,Robert Abel Arboleda Escobar,SAO,False,0,276,3,8,,Arboleda,6.67,26.67,Morumbis,2025-03-29 18:30:00,0,0,333870,20,292,14,276,1743283800,26,True,True
204,1,7,0,0,0,dudu-vieira,Dudu Vieira,91627,Carlos Eduardo de Souza Vieira,JUV,False,0,286,4,3,,D. Vieira,20.0,6.67,Alfredo Jaconi,2025-03-29 18:30:00,0,2,333876,16,287,19,286,1743283800,26,True,True
206,1,2,0,0,0,marlon,Marlon,91706,Marlon Rodrigues Xavier,CRU,False,0,283,2,7,,Marlon,66.67,73.33,Mineirão,2025-03-29 18:30:00,1,2,333872,9,2305,2,283,1743283800,26,True,True
207,1,6,0,0,0,david-duarte,David Duarte,91772,David de Duarte Macedo,BAH,False,0,265,3,4,,D. Duarte,40.0,66.67,Casa de Apostas Arena Fonte Nova,2025-03-30 20:00:00,1,1,333874,10,264,5,265,1743375600,26,True,True
210,1,6,0,0,0,pavon,Pavón,91908,Cristian David Pavón,GRE,False,0,284,5,7,,Pavón,60.0,53.33,Arena do Grêmio,2025-03-29 18:30:00,1,2,333873,7,282,11,284,1743283800,26,True,True
212,1,6,0,0,0,giovanny,Giovanny,92085,Giovanny Bariani Marques,JUV,False,0,286,5,3,,Giovanny,20.0,6.67,Alfredo Jaconi,2025-03-29 18:30:00,0,2,333876,16,287,19,286,1743283800,26,True,True
