,atletas.jogos_num,atletas.atleta_id,atletas.rodada_id,atletas.clube_id,atletas.posicao_id,atletas.status_id,atletas.pontos_num,atletas.media_num,atletas.variacao_num,atletas.preco_num,atletas.entrou_em_campo,atletas.slug,atletas.apelido,atletas.apelido_abreviado,atletas.nome,DS,FC,FS,FD,FF,I,SG,CA,G,DE,GS,PC,FT,CV,A,DP,PS,V,PP,GC,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
182,8,99032,13,354,4,6,2.7,1.7,0.25,4.0,True,lourenco,Lourenço,Lourenço,João Paulo Ferreira Lourenço,7,8,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,0.0,Castelão (CE),2025-07-13 20:30:00,1.0,0.0,333965,9,354,19,356,1752449400,26,True,True
183,3,91130,13,354,5,7,-0.3,2.77,-0.67,5.21,True,fernandinho,Fernandinho,Fernandinho,Fernando José Marques Maciel,4,3,3,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,46.67,0.0,Castelão (CE),2025-07-13 20:30:00,1.0,0.0,333965,9,354,19,356,1752449400,26,True,True
184,10,98225,13,354,5,3,-0.1,3.39,-0.42,7.52,True,pedro-raul,Pedro Raul,P. Raul,Pedro Raul Garay da Silva,3,20,13,4,12,15,0,3,2,0,0,0,1,0,0,0,0,0,0,0,46.67,0.0,Castelão (CE),2025-07-13 20:30:00,1.0,0.0,333965,9,354,19,356,1752449400,26,True,True
185,7,111166,13,354,4,6,0.0,0.53,0.0,3.07,False,romulo,Rômulo,Rômulo,Rômulo Azevedo Simão,1,6,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,0.0,Castelão (CE),2025-07-13 20:30:00,1.0,0.0,333965,9,354,19,356,1752449400,26,True,True
186,7,97899,13,354,2,7,5.2,8.27,-0.35,9.81,True,matheus-bahia,Matheus Bahia,M. Bahia,Matheus Bahia Santos,16,6,7,2,1,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,46.67,0.0,Castelão (CE),2025-07-13 20:30:00,1.0,0.0,333965,9,354,19,356,1752449400,26,True,True
187,10,101908,13,354,3,7,6.5,4.3,0.51,5.57,True,willian-machado,Willian Machado,W. Machado,Willian Estefani Machado,8,3,5,0,3,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,46.67,0.0,Castelão (CE),2025-07-13 20:30:00,1.0,0.0,333965,9,354,19,356,1752449400,26,True,True
188,10,108713,13,354,5,7,10.2,4.57,1.06,6.23,True,galeano,Galeano,Galeano,Antonio Javier Galeano Ferreira,10,5,22,4,2,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,46.67,0.0,Castelão (CE),2025-07-13 20:30:00,1.0,0.0,333965,9,354,19,356,1752449400,26,True,True
189,5,105845,13,354,4,6,0.0,3.4,0.0,5.76,False,matheus-araujo,Matheus Araújo,M. Araújo,Matheus de Araújo Andrade,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,46.67,0.0,Castelão (CE),2025-07-13 20:30:00,1.0,0.0,333965,9,354,19,356,1752449400,26,True,True
190,4,79266,13,354,1,7,5.0,4.55,1.1,6.59,True,bruno-ferreira,Bruno Ferreira,B. Ferreira,Bruno Ferreira Ventura Diniz - de Lins,0,1,1,0,0,0,2,1,0,10,4,0,0,0,0,0,0,0,0,0,46.67,0.0,Castelão (CE),2025-07-13 20:30:00,1.0,0.0,333965,9,354,19,356,1752449400,26,True,True
191,9,141763,13,354,2,7,10.6,5.78,1.52,8.51,True,fabiano-souza,Fabiano Souza,F. Souza,Fabiano Josué de Souza Silva,15,16,18,1,4,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,46.67,0.0,Castelão (CE),2025-07-13 20:30:00,1.0,0.0,333965,9,354,19,356,1752449400,26,True,True
