atletas.rodada_id,atletas.status_id,atletas.pontos_num,atletas.variacao_num,atletas.media_num,atletas.slug,atletas.apelido,atletas.atleta_id,atletas.nome,atletas.clube.id.full.name,atletas.entrou_em_campo,atletas.jogos_num,atletas.clube_id,atletas.posicao_id,atletas.preco_num,atletas.minimo_para_valorizar,atletas.apelido_abreviado,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante,A,CA,DS,FC,FD,FF,FS,I,G,FT,DE,GS,V,CV,PS,SG,DP,PC,PP,GC
13,6,0.0,0.0,3.7083333333333335,hereda,Hereda,104271,Diogo Hereda da Silva,,False,11,292,2,5.91,,Hereda,6.67,26.67,Alfredo Jaconi,2025-07-14 20:00:00,0.0,2.0,333966,20,292,17,286,1752534000,26,True,True,1.0,1.0,17.0,12.0,2.0,7.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
13,5,0.0,0.0,0.0,kauan,Kauan,141795,Kauan Santos Neves Coutinho,,False,0,287,3,1.0,,Kauan,13.33,33.33,Beira-Rio,2025-07-12 16:30:00,0.0,1.0,333963,18,287,13,285,1752348600,26,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,6,0.0,0.0,0.45,raphael-veiga,Raphael Veiga,94509,Raphael Cavalcante Veiga,,False,5,275,4,12.58,,R. Veiga,60.0,46.67,Vila Belmiro,2025-08-16 00:00:00,,,333960,5,275,16,277,1755313200,26,False,True,0.0,0.0,3.0,3.0,2.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13,7,2.0,-1.54,0.525,oscar,Oscar,68811,Oscar dos Santos Emboaba Júnior,,True,4,276,4,13.82,,Oscar,20.0,86.67,Maracanã,2025-07-12 16:30:00,0.0,2.0,333957,15,276,1,262,1752348600,26,True,True,0.0,1.0,4.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,6,2.0,0.24,0.6,atencio,Atencio,141453,Rodrigo Uriel Atencio,,True,7,292,4,3.95,,Atencio,6.67,26.67,Alfredo Jaconi,2025-07-14 20:00:00,0.0,2.0,333966,20,292,17,286,1752534000,26,True,True,0.0,1.0,1.0,3.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,7,0.0,0.0,1.2833333333333334,ricardo-ryller,Ricardo Ryller,85856,Ricardo Ryller Ribeiro Lino Silva,,False,11,287,4,2.88,,R. Ryller,13.33,33.33,Beira-Rio,2025-07-12 16:30:00,0.0,1.0,333963,18,287,13,285,1752348600,26,True,True,0.0,3.0,12.0,21.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,6,0.0,0.0,-0.3,gb,GB,122487,Gabriel Souza da Silva,,False,1,267,5,1.69,,GB,40.0,26.67, Alfredo Jaconi,2025-07-16 20:30:00,,,334006,15,267,18,286,1752708600,26,False,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,6,0.0,0.0,1.21,mateus-carvalho,Mateus Carvalho,118752,Mateus Carvalho dos Santos,,False,8,267,4,3.61,,M. Carvalho,40.0,26.67, Alfredo Jaconi,2025-07-16 20:30:00,,,334006,15,267,18,286,1752708600,26,False,True,0.0,1.0,7.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,6,0.0,0.0,0.0,jp,JP,129666,João Pedro Murilo de Paula Morais,,False,0,267,4,2.0,,JP,40.0,26.67, Alfredo Jaconi,2025-07-16 20:30:00,,,334006,15,267,18,286,1752708600,26,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,6,0.0,0.0,0.0,garre,Garré,108671,Benjamín Antonio Garré,,False,6,267,5,1.88,,Garré,40.0,26.67, Alfredo Jaconi,2025-07-16 20:30:00,,,334006,15,267,18,286,1752708600,26,False,True,0.0,1.0,1.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
