,atletas.jogos_num,atletas.atleta_id,atletas.rodada_id,atletas.clube_id,atletas.posicao_id,atletas.status_id,atletas.pontos_num,atletas.media_num,atletas.variacao_num,atletas.preco_num,atletas.entrou_em_campo,atletas.slug,atletas.apelido,atletas.apelido_abreviado,atletas.nome,CA,DS,FC,FF,FS,I,SG,FD,A,G,CV,FT,PC,PS,DE,GS,V,DP,PP,GC,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
123,4,97653,15,275,3,5,0.0,2.82,0.0,7.72,False,murilo,Murilo,Murilo,Murilo Cerqueira Paim,3,2,8,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,46.67,33.33,Allianz Parque,2025-07-20 17:30:00,2,3,334029,9,282,4,275,1753043400,26,True,False
124,13,102130,15,275,2,7,6.5,5.61,0.35,11.85,True,piquerez,Piquerez,Piquerez,Joaquín Piquerez Moreira,2,13,6,10,7,0,5,3,1,2,0,0,0,0,0,0,0,0,1,0,46.67,33.33,Allianz Parque,2025-07-20 17:30:00,2,3,334029,9,282,4,275,1753043400,26,True,False
125,12,99198,15,267,5,6,8.0,7.11,0.91,15.61,True,vegetti,Vegetti,Vegetti,Pablo Vegetti,1,3,17,14,12,3,0,5,1,7,0,2,0,0,0,0,0,0,0,1,53.33,26.67,São Januário,2025-07-19 17:30:00,1,1,334028,13,284,16,267,1752957000,26,True,False
126,3,130612,15,275,5,6,-0.6,0.47,-0.62,3.23,True,luighi,Luighi,Luighi,Luighi Hanri Sousa Santos,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,33.33,Allianz Parque,2025-07-20 17:30:00,2,3,334029,9,282,4,275,1753043400,26,True,False
127,3,89840,15,276,5,5,0.0,-0.77,0.0,5.78,False,calleri,Calleri,Calleri,Jonathan Calleri,0,1,2,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,33.33,26.67,Morumbis,2025-07-19 21:00:00,0,2,334030,10,264,14,276,1752969600,26,True,False
128,6,103347,15,292,2,7,-1.4,1.47,-0.85,3.81,True,matheus-alexandre,Matheus Alexandre,M. Alexandre,Matheus Alexandre Anastácio de Souza,5,7,10,1,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,86.67,13.33,Ilha do Retiro,2025-07-20 17:30:00,1,0,334039,5,263,20,292,1753043400,26,True,False
129,10,92854,15,285,5,7,7.9,3.54,0.77,11.4,True,borre,Borré,Borré,Rafael Santos Borré Maury,0,4,5,5,2,4,0,2,1,2,0,1,0,0,0,0,0,0,0,0,26.67,46.67,Beira-Rio,2025-07-20 11:00:00,0,1,334033,11,354,12,285,1753020000,26,True,False
130,9,99228,15,262,4,6,0.0,2.25,0.0,8.21,False,de-la-cruz,De la Cruz,D. Cruz,Diego Nicolás de la Cruz Arcosa,3,9,11,0,19,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,46.67,66.67,Maracanã,2025-07-20 19:30:00,0,1,334027,8,266,2,262,1753050600,26,True,False
131,10,92708,15,356,5,6,0.0,3.04,0.0,5.74,False,deyverson,Deyverson,Deyverson,Deyverson Brum Silva Acosta,1,3,9,9,10,2,0,3,0,1,0,2,0,0,0,0,0,0,0,0,66.67,6.67,Castelão (CE),2025-07-19 16:00:00,1,1,334037,6,265,19,356,1752951600,26,True,False
132,1,88087,15,292,3,7,4.4,4.4,1.17,7.17,True,ramon-menezes,Ramon Menezes,R. Menezes,Ramon Menezes Roma,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,86.67,13.33,Ilha do Retiro,2025-07-20 17:30:00,1,0,334039,5,263,20,292,1753043400,26,True,False
