,atletas.jogos_num,atletas.atleta_id,atletas.rodada_id,atletas.clube_id,atletas.posicao_id,atletas.status_id,atletas.pontos_num,atletas.media_num,atletas.variacao_num,atletas.preco_num,atletas.entrou_em_campo,atletas.slug,atletas.apelido,atletas.apelido_abreviado,atletas.nome,A,CA,DS,FC,FD,FF,FS,G,I,SG,CV,FT,PC,PS,DE,DP,GS,V,PP,GC,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
157,9,124481,17,263,2,6,1.7,3.59,-0.44,6.79,True,mateo-ponte,Mateo Ponte,M. Ponte,Mateo Ponte Costa,0,2,4,7,0,2,2,1,2,4,0,0,0,0,0,0,0,0,0,0,33.33,73.33,Nilton Santos (Engenhão),2025-07-26 18:30:00,1,1,334098,11,264,6,263,1753565400,26,True,False
158,6,107172,17,263,4,6,0.0,1.63,0.0,3.97,False,patrick-de-paula,Patrick de Paula,P. Paula,Patrick de Paula Carreiro,0,0,3,4,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,73.33,Nilton Santos (Engenhão),2025-07-26 18:30:00,1,1,334098,11,264,6,263,1753565400,26,True,False
159,12,95799,17,263,5,7,0.0,5.04,0.0,9.13,False,artur,Artur,Artur,Artur Victor Guimarães,3,1,8,8,4,7,15,2,1,0,0,1,0,0,0,0,0,0,0,0,33.33,73.33,Nilton Santos (Engenhão),2025-07-26 18:30:00,1,1,334098,11,264,6,263,1753565400,26,True,False
160,5,108274,17,263,3,6,0.0,2.8,0.0,4.21,False,david-ricardo,David Ricardo,D. Ricardo,David Ricardo Loiola da Silva,0,0,2,6,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,33.33,73.33,Nilton Santos (Engenhão),2025-07-26 18:30:00,1,1,334098,11,264,6,263,1753565400,26,True,False
161,3,107170,17,263,5,5,0.0,2.33,0.0,4.33,False,jeffinho,Jeffinho,Jeffinho,Jefferson Ruan Pereira dos Santos,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,73.33,Nilton Santos (Engenhão),2025-07-26 18:30:00,1,1,334098,11,264,6,263,1753565400,26,True,False
162,0,104191,17,263,1,6,0.0,0.0,0.0,2.0,False,raul,Raul,Raul,Raul Jonas Steffens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,73.33,Nilton Santos (Engenhão),2025-07-26 18:30:00,1,1,334098,11,264,6,263,1753565400,26,True,False
163,12,116065,17,263,2,6,1.3,6.65,-1.75,9.7,True,cuiabano,Cuiabano,Cuiabano,Luís Eduardo Soares da Silva,1,2,11,10,1,4,10,2,1,7,0,1,0,0,0,0,0,0,0,0,33.33,73.33,Nilton Santos (Engenhão),2025-07-26 18:30:00,1,1,334098,11,264,6,263,1753565400,26,True,False
164,5,104693,17,263,4,2,8.9,2.66,1.33,4.7,True,newton,Newton,Newton,Newton Araújo da Costa Júnior,0,1,8,6,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,73.33,Nilton Santos (Engenhão),2025-07-26 18:30:00,1,1,334098,11,264,6,263,1753565400,26,True,False
165,8,124757,17,263,5,6,7.5,3.25,0.72,5.93,True,nathan-fernandes,Nathan Fernandes,N. Fernandes,Nathan Ribeiro Fernandes,2,0,2,2,2,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,33.33,73.33,Nilton Santos (Engenhão),2025-07-26 18:30:00,1,1,334098,11,264,6,263,1753565400,26,True,False
166,5,115404,17,263,5,6,0.0,1.34,0.0,3.25,False,rwan-cruz,Rwan Cruz,R. Cruz,Rwan Philipe Rodrigues de Souza Cruz,0,0,3,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,33.33,73.33,Nilton Santos (Engenhão),2025-07-26 18:30:00,1,1,334098,11,264,6,263,1753565400,26,True,False
