atletas.atleta_id,previsao_pontos,atletas.rodada_id,atletas.status_id,atletas.pontos_num,atletas.variacao_num,atletas.media_num,atletas.slug,atletas.apelido,atletas.nome,atletas.clube.id.full.name,atletas.entrou_em_campo,atletas.jogos_num,atletas.clube_id,atletas.posicao_id,atletas.preco_num,atletas.minimo_para_valorizar,atletas.apelido_abreviado,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante,A,CA,DS,FC,FD,FF,FS,I,G,FT,DE,GS,V,CV,PS,SG,DP,PC,PP,GC
73384,6.442269999999963,15,7,,-1.04,4.44,samuel-xavier,Samuel Xavier,Samuel Xavier Brito,,True,10,266,2,8.82,,S. Xavier,46.67,66.67,Maracanã,2025-07-20 19:30:00,,,334027,7,266,2,262,1753050600,26,True,True,1.0,2.0,8.0,13.0,1.0,2.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
42500,6.43562999999998,15,7,,1.67,6.75,fagner,Fagner,Fagner Conserva Lemos,,True,8,283,2,10.02,,Fagner,26.67,86.67,Mineirão,2025-07-20 16:00:00,,,334032,18,286,1,283,1753038000,26,True,False,0.0,1.0,19.0,9.0,0.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
98672,6.4301299999999735,15,7,,0.2,4.96,savarino,Savarino,Jefferson David Savarino Quintero,,True,9,263,4,10.45,,Savarino,73.33,6.67,Ilha do Retiro,2025-07-20 17:30:00,,,334039,6,263,20,292,1753043400,26,True,True,1.0,1.0,4.0,4.0,7.0,10.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99267,6.407989999999957,15,7,,0.0,6.65,pochettino,Pochettino,Tomás Pochettino,,False,7,356,4,11.62,,Pochettino,80.0,0.0,Castelão (CE),2025-07-19 16:00:00,,,334037,4,265,19,356,1752951600,26,True,False,1.0,0.0,13.0,2.0,6.0,7.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40990,6.403669999999987,15,7,,0.89,5.53,dorival-junior,Dorival Júnior,Dorival Silvestre Júnior,,True,8,264,6,11.12,,D. Júnior,40.0,6.67,Morumbis,2025-07-19 21:00:00,,,334030,9,264,16,276,1752969600,26,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68685,6.390399999999975,15,7,,0.0,5.94,alan-patrick,Alan Patrick,Alan Patrick Lourenço,,False,9,285,4,13.37,,A. Patrick,40.0,33.33,Beira-Rio,2025-07-20 11:00:00,,,334033,10,354,14,285,1753020000,26,True,False,4.0,3.0,7.0,5.0,4.0,2.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103056,6.382939999999982,15,7,,0.94,5.59,gabriel-brazao,Gabriel Brazão,Gabriel Nascimento Rezende Brazão - Resende,,True,13,277,1,8.1,,G. Brazão,60.0,73.33,Maião,2025-07-19 18:30:00,,,334031,13,277,11,2305,1752960600,26,True,True,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,49.0,14.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
72391,6.372819999999969,15,7,,0.0,4.85,fernando-diniz,Fernando Diniz,Fernando Diniz Silva,,False,5,267,6,9.24,,F. Diniz,46.67,40.0,São Januário,2025-07-19 17:30:00,,,334028,12,284,15,267,1752957000,26,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110506,6.332679999999981,15,7,,0.17,6.26,abel-ferreira,Abel Ferreira,Abel Fernando Moreira Ferreira,,True,12,275,6,12.14,,A. Ferreira,53.33,46.67,Allianz Parque,2025-07-20 17:30:00,,,334029,8,282,5,275,1753043400,26,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77664,6.331439999999953,15,7,,0.0,4.6,sergio-oliveira,Sérgio Oliveira,Sérgio Miguel Relvas de Oliveira,,False,8,292,4,8.59,,S. Oliveira,73.33,6.67,Ilha do Retiro,2025-07-20 17:30:00,,,334039,6,263,20,292,1753043400,26,True,False,0.0,3.0,14.0,12.0,3.0,6.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
